Variable Name,Dimensions,Info,Units
EnExchEleToRadTimeIntg,"('num_times: 502',)",Time-integrated energy exchanged from electrons to radiation [J per (cm**X)],J per (cm**X)
EnLaserDepositedTimeIntg,"('num_times: 502',)",Time-integrated energy deposited in plasma due to laser deposition [J per (cm**X)],J per (cm**X)
EnLaserDeposited,"('num_times: 502',)",Instantaneous energy deposited in plasma due to laser deposition [J per (sec.cm**X)],J per (sec.cm**X)
EnMagnetic,"('num_times: 502',)",Instantaneous energy deposited in plasma due to discharge current [J per (sec.cm**X)],J per (sec.cm**X)
EnRadSinkTimeIntg,"('num_times: 502',)",Time-integrated radiation energy sink [J per (cm**X)],J per (cm**X)
EnRadSink,"('num_times: 502',)",Radiation egergy sink term at this time step [J per (cm**X)],J per (cm**X)
EnTotMag,"('num_times: 502',)",Total internal B-field energy [J],J
EnMagTimeIntg,"('num_times: 502',)",Time-integrated B-field energy source term [J per(cm**X.geofac)],J per(cm**X.geofac)
EnJouleHeatingTimeIntg,"('num_times: 502',)",Time-integrated Joule heating energy source term [J per (cm**X.geofac)],J per (cm**X.geofac)
EnLHSAll,"('num_times: 502',)",Total energy LHS for i+e+r [J],J
EnRHSAll,"('num_times: 502',)",Total energy RHS for i+e+r [J],J
AppliedVoltage,"('num_times: 502',)",Applied voltage for magnetic boundary condition [V],V
DischargeCurrent,"('num_times: 502',)",Discharge current [Amps],Amps
num_cr_freq_groups_for_time,"('num_times: 502',)",Number of photon energy groups at any givrn time step (CR calculation),
photon_energy_group_bounds,"('num_times: 502', 'num_freq_groups_plus1: 51')",Photon energy grid boundaries [eV],eV
FdIntgPowerLossRmin,"('num_times: 502', 'num_freq_groups: 50')",Freq. resolved radiation losses - Rmin [J per eV],J per eV
FdIntgPowerLossRmax,"('num_times: 502', 'num_freq_groups: 50')",Freq. resolved radiation losses - Rmax [J per eV],J per eV
FdPowerLossRmin,"('num_times: 502', 'num_freq_groups: 50')",Freq. resolved radiation losses - Rmin [J per (sec.eV)],J per (sec.eV)
FdPowerLossRmax,"('num_times: 502', 'num_freq_groups: 50')",Freq. resolved radiation losses - Rmax [J per (sec.eV)],J per (sec.eV)
